section_id,course_id,term_id,section_number,capacity,instructor_name
199,54,2,3,153,William Brown
200,54,3,1,148,Jane Miller
201,54,4,1,152,David Martinez
202,54,5,1,145,Michael Johnson
203,54,6,1,149,William Garcia
204,54,7,1,147,Ashley Rodriguez
205,54,8,1,144,John Smith
206,54,9,1,151,William Davis
207,54,9,2,146,Ashley Rodriguez
208,54,9,3,146,Emily Martinez
209,54,10,1,150,Ashley Lopez
210,151,1,1,49,Emily Rodriguez
211,151,2,1,48,Jessica Lopez
212,151,3,1,47,John Garcia
213,151,4,1,41,Robert Martinez
214,151,5,1,50,John Martinez
215,151,6,1,50,Ashley Martinez
216,151,7,1,40,Ashley Davis
217,151,8,1,42,James Brown
218,151,8,2,40,Ashley Lopez
219,151,8,3,41,Sarah Smith
220,151,9,1,46,Michael Miller
221,151,10,1,46,William Martinez
222,56,1,1,112,Amanda Williams
223,56,2,1,120,Emily Hernandez
224,56,3,1,118,Emily Williams
225,56,4,1,120,Emily Rodriguez
226,56,5,1,122,James Lopez
227,56,6,1,119,Sarah Brown
228,56,7,1,116,Sarah Jones
229,56,8,1,115,Amanda Lopez
230,56,9,1,119,Emily Rodriguez
231,56,10,1,116,David Johnson
232,60,1,1,52,Robert Miller
233,60,2,1,46,David Smith
234,60,3,1,45,Emily Davis
235,60,4,1,51,Sarah Brown
236,60,5,1,48,William Lopez
237,60,6,1,45,Ashley Lopez
238,60,7,1,47,John Hernandez
239,60,8,1,47,James Brown
240,60,9,1,49,Amanda Davis
241,60,9,2,45,James Williams
242,60,9,3,44,William Williams
243,60,10,1,51,Jessica Hernandez
244,85,1,1,51,David Hernandez
245,85,1,2,46,Jane Hernandez
246,85,1,3,55,Sarah Rodriguez
247,85,2,1,46,Michael Miller
248,85,3,1,48,John Miller
249,85,4,1,48,Amanda Jones
250,85,5,1,46,David Martinez
251,85,6,1,51,David Davis
252,85,7,1,54,William Davis
253,85,8,1,48,William Davis
254,85,9,1,47,Emily Williams
255,85,10,1,56,David Lopez
256,38,1,1,20,Ashley Hernandez
257,38,1,2,19,Michael Martinez
258,38,1,3,26,Robert Miller
259,38,2,1,17,Robert Hernandez
260,38,3,1,23,Emily Brown
261,38,3,2,16,David Miller
262,38,4,1,20,Emily Jones
263,38,5,1,25,John Jones
264,38,6,1,19,John Hernandez
265,38,7,1,18,Robert Hernandez
266,38,7,2,24,Amanda Jones
267,38,7,3,17,James Jones
268,38,8,1,19,Sarah Williams
269,38,9,1,23,Amanda Martinez
270,38,10,1,24,Jessica Rodriguez
271,195,1,1,26,Sarah Hernandez
272,195,2,1,24,William Davis
273,195,3,1,28,Jane Martinez
274,195,4,1,32,William Williams
275,195,4,2,25,Emily Rodriguez
276,195,5,1,33,Sarah Lopez
277,195,6,1,24,William Davis
278,195,7,1,30,Michael Rodriguez
279,195,8,1,32,John Rodriguez
280,195,9,1,27,Amanda Smith
281,195,10,1,23,Amanda Brown
282,1,1,1,119,Robert Garcia
283,1,2,1,127,John Johnson
284,1,3,1,126,John Jones
285,1,4,1,121,James Lopez
286,1,5,1,125,Emily Miller
287,1,6,1,125,Robert Johnson
288,1,7,1,129,William Williams
289,1,8,1,124,Jane Williams
290,1,9,1,125,William Williams
291,1,10,1,122,John Smith
292,71,1,1,106,James Lopez
293,71,2,1,107,Robert Brown
294,71,3,1,104,Michael Jones
295,71,4,1,99,James Miller
296,71,4,2,108,John Brown
297,71,5,1,100,Ashley Smith
298,71,6,1,109,Amanda Smith
299,71,7,1,99,Robert Davis
300,71,8,1,102,John Williams
301,71,9,1,103,Sarah Lopez
302,71,10,1,108,Ashley Hernandez
303,180,1,1,24,David Williams
304,180,2,1,29,Sarah Miller
305,180,3,1,21,William Martinez
306,180,4,1,23,James Hernandez
307,180,5,1,28,John Garcia
308,180,6,1,31,Robert Rodriguez
309,180,7,1,27,Robert Williams
310,180,8,1,23,William Davis
311,180,9,1,24,David Lopez
312,180,10,1,21,William Miller
313,180,10,2,27,William Rodriguez
314,180,10,3,23,Robert Brown
315,34,1,1,21,James Johnson
316,34,2,1,21,Jane Rodriguez
317,34,3,1,19,John Jones
318,34,4,1,25,Ashley Smith
319,34,5,1,19,Ashley Lopez
320,34,6,1,19,Jessica Brown
321,34,7,1,21,David Smith
322,34,8,1,19,Amanda Johnson
323,34,9,1,23,Sarah Lopez
324,34,10,1,19,Robert Brown
325,139,1,1,35,Robert Davis
326,139,2,1,36,David Jones
327,139,3,1,38,Jessica Johnson
328,139,4,1,38,Emily Brown
329,139,5,1,37,John Martinez
330,139,6,1,33,John Jones
331,139,7,1,40,Ashley Lopez
332,139,8,1,33,Sarah Garcia
333,139,9,1,40,Sarah Davis
334,139,10,1,41,Emily Jones
335,65,1,1,151,Amanda Hernandez
336,65,2,1,151,Michael Lopez
337,65,3,1,146,Michael Lopez
338,65,4,1,146,William Hernandez
339,65,5,1,152,John Johnson
340,65,6,1,154,John Smith
341,65,7,1,154,Sarah Johnson
342,65,8,1,144,Sarah Rodriguez
343,65,9,1,144,Ashley Hernandez
344,65,10,1,153,Jessica Hernandez
345,45,1,1,26,William Rodriguez
346,45,2,1,26,William Lopez
347,45,3,1,30,John Rodriguez
348,45,4,1,36,Robert Williams
349,45,5,1,34,Michael Brown
350,45,5,2,29,Ashley Rodriguez
351,45,6,1,31,David Miller
352,45,7,1,33,Ashley Brown
353,45,7,2,29,David Hernandez
354,45,7,3,27,James Hernandez
355,45,8,1,27,Robert Miller
356,45,9,1,33,John Hernandez
357,45,10,1,27,Jessica Miller
358,45,10,2,36,Emily Martinez
359,29,1,1,17,William Smith
360,29,2,1,25,Jessica Jones
361,29,3,1,26,David Rodriguez
362,29,3,2,25,James Smith
363,29,4,1,16,Sarah Martinez
364,29,4,2,18,Amanda Miller
365,29,4,3,17,David Williams
366,29,5,1,25,Robert Hernandez
367,29,6,1,21,Robert Lopez
368,29,7,1,24,Amanda Garcia
369,29,7,2,16,Jane Miller
370,29,8,1,17,Emily Martinez
371,29,9,1,25,Robert Garcia
372,29,10,1,23,Jessica Brown
373,29,10,2,21,William Miller
374,29,10,3,22,Michael Hernandez
375,199,1,1,44,Jane Martinez
376,199,2,1,41,Amanda Johnson
377,199,3,1,44,Amanda Hernandez
378,199,3,2,40,Amanda Miller
379,199,4,1,39,Jane Smith
380,199,5,1,45,Emily Jones
381,199,6,1,40,Robert Davis
382,199,6,2,46,William Rodriguez
383,199,7,1,38,Jane Garcia
384,199,8,1,47,Ashley Garcia
385,199,9,1,38,David Miller
386,199,10,1,39,Amanda Rodriguez
387,7,1,1,96,Ashley Rodriguez
388,7,2,1,95,Michael Jones
389,7,2,2,97,David Davis
390,7,2,3,95,Jane Williams
391,7,3,1,99,David Davis
392,7,4,1,98,David Brown
393,7,5,1,100,Ashley Martinez
394,7,6,1,95,David Smith
395,7,6,2,99,Emily Martinez
396,7,7,1,98,Jessica Garcia
397,7,8,1,103,Ashley Williams
398,7,9,1,102,Amanda Brown
399,7,10,1,95,Robert Garcia
400,175,1,1,56,Jessica Martinez
401,175,2,1,51,Robert Jones
402,175,3,1,52,Emily Johnson
403,175,4,1,49,Ashley Rodriguez
404,175,5,1,53,Amanda Brown
405,175,5,2,53,David Lopez
406,175,6,1,56,Jessica Williams
407,175,6,2,56,David Brown
408,175,6,3,50,James Williams
409,175,7,1,52,Jane Davis
410,175,8,1,53,Ashley Miller
411,175,9,1,52,William Smith
412,175,10,1,51,Amanda Rodriguez
413,4,1,1,129,Jane Brown
414,4,2,1,133,Michael Hernandez
415,4,3,1,137,James Hernandez
416,4,4,1,133,Robert Johnson
417,4,5,1,131,William Lopez
418,4,5,2,136,William Martinez
419,4,5,3,137,Sarah Davis
420,4,6,1,135,James Martinez
421,4,7,1,130,Emily Smith
422,4,8,1,132,Robert Johnson
423,4,9,1,133,David Garcia
424,4,9,2,135,Sarah Rodriguez
425,4,10,1,135,Jane Davis
426,92,1,1,37,Emily Johnson
427,92,2,1,31,John Garcia
428,92,3,1,40,Michael Lopez
429,92,4,1,32,William Williams
430,92,5,1,36,Jessica Brown
431,92,6,1,40,Michael Williams
432,92,7,1,36,Robert Smith
433,92,8,1,33,Jessica Martinez
434,92,9,1,30,Amanda Brown
435,92,10,1,31,Ashley Johnson
436,61,1,1,38,Michael Garcia
437,61,2,1,37,Jane Jones
438,61,3,1,37,William Hernandez
439,61,4,1,36,Ashley Miller
440,61,5,1,35,Emily Davis
441,61,6,1,40,Amanda Jones
442,61,7,1,39,Jane Hernandez
443,61,8,1,33,David Johnson
444,61,8,2,32,Emily Lopez
445,61,9,1,36,Ashley Williams
446,61,9,2,39,Robert Miller
447,61,9,3,32,Jessica Hernandez
448,61,10,1,40,Michael Rodriguez
449,184,1,1,25,Michael Garcia
450,184,1,2,30,Ashley Smith
451,184,1,3,28,John Davis
452,184,2,1,31,William Hernandez
453,184,2,2,30,Robert Hernandez
454,184,2,3,30,Robert Lopez
455,184,3,1,30,Michael Johnson
456,184,4,1,26,David Smith
457,184,5,1,31,David Williams
458,184,6,1,32,Amanda Davis
459,184,7,1,24,Ashley Johnson
460,184,8,1,31,Emily Rodriguez
461,184,9,1,23,Amanda Davis
462,184,10,1,29,Jane Lopez
463,83,1,1,27,David Smith
464,83,2,1,29,Jane Davis
465,83,3,1,25,Sarah Brown
466,83,4,1,33,Amanda Garcia
467,83,5,1,33,James Miller
468,83,6,1,27,Sarah Smith
469,83,6,2,33,Emily Rodriguez
470,83,7,1,32,Michael Garcia
471,83,8,1,28,David Martinez
472,83,9,1,32,James Johnson
473,83,10,1,24,David Hernandez
474,83,10,2,26,Amanda Williams
475,83,10,3,27,Michael Lopez
476,5,1,1,63,James Miller
477,5,2,1,69,James Jones
478,5,3,1,66,Jessica Johnson
479,5,4,1,61,Robert Rodriguez
480,5,5,1,65,Jessica Davis
481,5,6,1,60,Amanda Johnson
482,5,7,1,67,James Hernandez
483,5,8,1,61,William Miller
484,5,9,1,66,Sarah Davis
485,5,10,1,64,Emily Rodriguez
486,172,1,1,46,Jessica Garcia
487,172,2,1,37,John Johnson
488,172,3,1,44,John Johnson
489,172,4,1,39,Jessica Davis
490,172,5,1,40,Amanda Williams
491,172,5,2,47,David Williams
492,172,5,3,41,Jane Hernandez
493,172,6,1,38,Emily Hernandez
494,172,7,1,39,John Miller
495,172,8,1,40,Robert Hernandez
496,172,9,1,37,Sarah Davis
497,172,9,2,38,Michael Martinez
498,172,10,1,47,Jessica Smith
499,68,1,1,55,Robert Lopez
500,68,1,2,56,Jessica Johnson
501,68,1,3,57,Robert Johnson
502,68,2,1,55,Jane Garcia
503,68,3,1,58,Michael Miller
504,68,4,1,56,James Hernandez
505,68,5,1,63,James Williams
506,68,5,2,61,Emily Lopez
507,68,6,1,56,Robert Martinez
508,68,7,1,57,Jane Johnson
509,68,8,1,63,Amanda Miller
510,68,8,2,59,Robert Garcia
511,68,9,1,57,David Hernandez
512,68,10,1,54,James Jones
513,68,10,2,57,William Martinez
514,68,10,3,62,Sarah Lopez
515,14,1,1,86,John Brown
516,14,2,1,77,Sarah Davis
517,14,3,1,77,William Smith
518,14,4,1,81,Michael Miller
519,14,5,1,85,Robert Garcia
520,14,6,1,78,Jessica Johnson
521,14,7,1,76,David Brown
522,14,7,2,76,John Miller
523,14,8,1,86,Amanda Rodriguez
524,14,9,1,82,Amanda Miller
525,14,10,1,80,Jane Jones
526,14,10,2,77,William Brown
527,190,1,1,33,William Garcia
528,190,2,1,41,James Hernandez
529,190,3,1,35,Amanda Miller
530,190,4,1,34,John Brown
531,190,5,1,32,Jessica Martinez
532,190,5,2,40,John Jones
533,190,5,3,41,Amanda Hernandez
534,190,6,1,32,John Lopez
535,190,7,1,33,Jessica Garcia
536,190,7,2,39,William Lopez
537,190,8,1,36,Michael Lopez
538,190,9,1,35,Amanda Johnson
539,190,10,1,31,Emily Miller
540,108,1,1,29,David Lopez
541,108,2,1,38,Jane Davis
542,108,3,1,33,John Davis
543,108,4,1,30,Emily Williams
544,108,5,1,29,Ashley Hernandez
545,108,6,1,31,Amanda Rodriguez
546,108,7,1,31,John Davis
547,108,7,2,33,Robert Williams
548,108,8,1,36,Amanda Lopez
549,108,8,2,38,Robert Brown
550,108,9,1,34,Amanda Garcia
551,108,10,1,29,Ashley Garcia
552,135,1,1,36,Sarah Rodriguez
553,135,1,2,34,Robert Johnson
554,135,2,1,38,David Garcia
555,135,3,1,34,Emily Brown
556,135,3,2,38,Ashley Jones
557,135,3,3,43,Sarah Davis
558,135,4,1,41,Sarah Lopez
559,135,5,1,37,Michael Smith
560,135,6,1,34,Sarah Rodriguez
561,135,7,1,34,Emily Smith
562,135,8,1,40,Amanda Lopez
563,135,9,1,37,William Brown
564,135,10,1,34,Michael Lopez
565,30,1,1,22,Sarah Rodriguez
566,30,2,1,27,Jessica Lopez
567,30,3,1,30,Michael Hernandez
568,30,3,2,28,Jane Martinez
569,30,4,1,28,James Williams
570,30,5,1,26,Emily Miller
571,30,6,1,27,Emily Davis
572,30,7,1,23,Sarah Williams
573,30,8,1,31,Jane Williams
574,30,9,1,29,Emily Miller
575,30,9,2,23,William Garcia
576,30,9,3,25,Jessica Jones
577,30,10,1,23,Jane Williams
578,17,1,1,57,Amanda Lopez
579,17,2,1,56,Emily Williams
580,17,3,1,58,Robert Rodriguez
581,17,3,2,53,James Jones
582,17,4,1,55,John Miller
583,17,5,1,61,Amanda Rodriguez
584,17,6,1,60,Jane Williams
585,17,7,1,56,Michael Brown
586,17,7,2,59,Emily Hernandez
587,17,8,1,63,Jane Martinez
588,17,9,1,54,John Johnson
589,17,10,1,55,Jane Garcia
590,17,10,2,54,John Davis
591,17,10,3,53,Michael Martinez
592,122,1,1,23,Jessica Smith
593,122,2,1,23,Michael Garcia
594,122,3,1,19,David Jones
595,122,4,1,19,John Martinez
596,122,5,1,20,James Jones
597,122,6,1,25,Jessica Smith
598,122,7,1,19,Robert Brown
599,122,7,2,27,William Brown
600,122,7,3,27,William Smith
601,122,8,1,22,Jessica Rodriguez
602,122,9,1,22,Ashley Rodriguez
603,122,10,1,21,Michael Smith
604,115,1,1,37,John Jones
605,115,2,1,42,Emily Martinez
606,115,2,2,37,Michael Johnson
607,115,2,3,37,James Brown
608,115,3,1,34,Sarah Martinez
609,115,4,1,40,Emily Williams
610,115,5,1,39,Ashley Smith
611,115,5,2,39,Ashley Martinez
612,115,5,3,36,Ashley Brown
613,115,6,1,41,William Jones
614,115,7,1,35,John Brown
615,115,7,2,43,Sarah Smith
616,115,8,1,34,Emily Martinez
617,115,9,1,36,Emily Lopez
618,115,10,1,34,John Williams
619,115,10,2,43,Amanda Williams
620,115,10,3,35,William Garcia
621,93,1,1,29,Amanda Hernandez
622,93,2,1,25,Emily Jones
623,93,3,1,26,Amanda Miller
624,93,4,1,31,James Garcia
625,93,5,1,27,James Martinez
626,93,5,2,26,Robert Jones
627,93,5,3,28,Michael Williams
628,93,6,1,33,Robert Martinez
629,93,7,1,33,Sarah Hernandez
630,93,7,2,33,Jane Davis
631,93,7,3,26,Emily Lopez
632,93,8,1,29,Michael Hernandez
633,93,8,2,25,Amanda Hernandez
634,93,8,3,34,Amanda Garcia
635,93,9,1,28,Sarah Brown
636,93,10,1,29,David Johnson
637,132,1,1,11,Robert Davis
638,132,2,1,13,Robert Davis
639,132,3,1,16,William Miller
640,132,4,1,20,James Hernandez
641,132,4,2,14,Michael Davis
642,132,4,3,12,John Jones
643,132,5,1,12,Jane Garcia
644,132,5,2,13,Robert Williams
645,132,5,3,12,William Johnson
646,132,6,1,20,Jessica Lopez
647,132,7,1,20,Robert Williams
648,132,7,2,11,Jane Garcia
649,132,8,1,14,Robert Lopez
650,132,9,1,19,David Hernandez
651,132,10,1,14,Jane Smith
652,28,1,1,33,Jessica Williams
653,28,2,1,31,Jane Jones
654,28,2,2,35,James Martinez
655,28,3,1,26,John Brown
656,28,4,1,26,Jessica Johnson
657,28,4,2,29,Robert Davis
658,28,4,3,32,James Jones
659,28,5,1,27,Emily Miller
660,28,5,2,30,Michael Davis
661,28,5,3,25,David Davis
662,28,6,1,28,David Martinez
663,28,7,1,26,James Garcia
664,28,7,2,33,Robert Martinez
665,28,8,1,25,Robert Rodriguez
666,28,9,1,33,James Davis
667,28,10,1,28,Jessica Jones
668,116,1,1,25,Ashley Rodriguez
669,116,1,2,26,James Martinez
670,116,2,1,19,Michael Brown
671,116,2,2,20,Michael Smith
672,116,2,3,23,Jane Hernandez
673,116,3,1,27,Michael Martinez
674,116,4,1,18,Jane Miller
675,116,5,1,25,Emily Jones
676,116,6,1,17,Amanda Martinez
677,116,7,1,23,Jane Miller
678,116,8,1,18,Ashley Johnson
679,116,8,2,21,William Garcia
680,116,9,1,21,Robert Hernandez
681,116,10,1,26,Jessica Smith
682,129,1,1,32,Ashley Martinez
683,129,1,2,40,Amanda Miller
684,129,1,3,30,Robert Garcia
685,129,2,1,30,Amanda Davis
686,129,3,1,35,John Garcia
687,129,4,1,34,David Jones
688,129,5,1,40,Jane Brown
689,129,6,1,35,David Lopez
690,129,6,2,36,Ashley Hernandez
691,129,6,3,31,Sarah Davis
692,129,7,1,36,Amanda Davis
693,129,8,1,35,John Rodriguez
694,129,9,1,31,David Lopez
695,129,10,1,32,William Martinez
696,57,1,1,136,John Brown
697,57,1,2,133,Jessica Smith
698,57,2,1,136,David Garcia
699,57,3,1,141,Robert Hernandez
700,57,4,1,143,John Brown
701,57,5,1,142,Jessica Williams
702,57,6,1,140,Ashley Rodriguez
703,57,7,1,135,David Lopez
704,57,8,1,134,David Smith
705,57,9,1,135,Ashley Brown
706,57,10,1,143,Sarah Hernandez
707,12,1,1,55,Robert Rodriguez
708,12,2,1,52,Michael Hernandez
709,12,2,2,47,Ashley Smith
710,12,3,1,54,David Lopez
711,12,4,1,55,David Miller
712,12,5,1,50,Jessica Jones
713,12,6,1,49,James Rodriguez
714,12,7,1,51,Ashley Johnson
715,12,8,1,53,James Martinez
716,12,8,2,54,David Jones
717,12,8,3,55,Jane Davis
718,12,9,1,55,Emily Jones
719,12,9,2,49,James Lopez
720,12,9,3,55,David Brown
721,12,10,1,45,Ashley Miller
722,12,10,2,55,Emily Hernandez
723,134,1,1,32,Jessica Jones
724,134,1,2,26,Robert Miller
725,134,2,1,22,Ashley Lopez
726,134,3,1,25,Emily Lopez
727,134,4,1,32,William Hernandez
728,134,5,1,32,Emily Rodriguez
729,134,6,1,24,James Rodriguez
730,134,7,1,29,Michael Lopez
731,134,7,2,26,Amanda Rodriguez
732,134,8,1,24,James Garcia
733,134,9,1,25,Emily Brown
734,134,10,1,26,Robert Garcia
735,78,1,1,120,David Davis
736,78,2,1,118,John Hernandez
737,78,3,1,120,Jane Davis
738,78,4,1,119,Jane Hernandez
739,78,5,1,115,Robert Smith
740,78,6,1,113,Michael Brown
741,78,7,1,120,Jessica Williams
742,78,8,1,113,Jane Davis
743,78,9,1,113,Emily Hernandez
744,78,10,1,115,Sarah Williams
745,78,10,2,120,Michael Davis
746,78,10,3,112,Michael Martinez
747,118,1,1,21,Robert Miller
748,118,2,1,21,John Smith
749,118,3,1,20,John Garcia
750,118,4,1,23,Sarah Smith
751,118,5,1,25,Amanda Brown
752,118,6,1,20,David Williams
753,118,7,1,17,Jane Smith
754,118,7,2,19,David Davis
755,118,7,3,23,Ashley Rodriguez
756,118,8,1,25,Michael Garcia
757,118,9,1,22,Emily Brown
758,118,10,1,15,Sarah Brown
759,118,10,2,17,Sarah Lopez
760,118,10,3,15,Ashley Rodriguez
761,8,1,1,114,John Miller
762,8,1,2,114,David Rodriguez
763,8,1,3,113,John Martinez
764,8,2,1,114,Jane Hernandez
765,8,3,1,104,Amanda Johnson
766,8,4,1,110,Jane Rodriguez
767,8,5,1,106,Sarah Lopez
768,8,6,1,104,David Miller
769,8,7,1,114,William Jones
770,8,8,1,106,Robert Johnson
771,8,9,1,113,Jane Jones
772,8,10,1,111,Sarah Martinez
773,8,10,2,107,David Rodriguez
774,16,1,1,98,Amanda Miller
775,16,2,1,93,William Davis
776,16,3,1,100,Emily Brown
777,16,4,1,94,Ashley Hernandez
778,16,4,2,100,Michael Johnson
779,16,5,1,94,Amanda Lopez
780,16,6,1,103,Sarah Davis
781,16,6,2,97,David Davis
782,16,6,3,93,Jane Williams
783,16,7,1,97,Emily Hernandez
784,16,8,1,94,Jane Smith
785,16,9,1,103,James Williams
786,16,9,2,98,Emily Davis
787,16,10,1,97,Amanda Johnson
788,123,1,1,28,Michael Johnson
789,123,2,1,30,David Miller
790,123,3,1,30,Robert Hernandez
791,123,4,1,25,Jane Williams
792,123,5,1,23,Michael Johnson
793,123,6,1,32,Jessica Martinez
794,123,7,1,25,Ashley Miller
795,123,8,1,32,John Hernandez
796,123,9,1,25,Jessica Davis
797,123,10,1,30,John Johnson
798,123,10,2,27,James Garcia
799,123,10,3,23,Amanda Hernandez
800,103,1,1,42,Amanda Martinez
